iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
BEL,Europe,Belgium,3/15/2020,11655923,1362,1046,149.429,9,9,1.286,116.85,89.74,12.82,0.772,0.772,0.11,2.38,53,4.547,263,22.564,,,221,18.96
BEL,Europe,Belgium,3/16/2020,11655923,1362,0,149.429,9,0,1.286,116.85,0,12.82,0.772,0,0.11,2.35,79,6.778,370,31.744,,,308,26.424
BEL,Europe,Belgium,3/17/2020,11655923,1362,0,149.429,9,0,1.286,116.85,0,12.82,0.772,0,0.11,2.31,100,8.579,493,42.296,,,433,37.148
BEL,Europe,Belgium,3/18/2020,11655923,1362,0,149.429,9,0,1.286,116.85,0,12.82,0.772,0,0.11,2.28,130,11.153,646,55.422,,,605,51.905
BEL,Europe,Belgium,3/19/2020,11655923,1362,0,149.429,9,0,1.286,116.85,0,12.82,0.772,0,0.11,2.24,164,14.07,840,72.066,,,792,67.948
BEL,Europe,Belgium,3/20/2020,11655923,1362,0,149.429,9,0,1.286,116.85,0,12.82,0.772,0,0.11,2.2,229,19.647,1108,95.059,,,1025,87.938
BEL,Europe,Belgium,3/21/2020,11655923,1362,0,149.429,9,0,1.286,116.85,0,12.82,0.772,0,0.11,2.16,290,24.88,1384,118.738,,,1291,110.759
BEL,Europe,Belgium,3/22/2020,11655923,4473,3111,444.429,149,140,20,383.753,266.903,38.129,12.783,12.011,1.716,2.13,326,27.969,1661,142.503,,,1499,128.604
BEL,Europe,Belgium,3/23/2020,11655923,4473,0,444.429,149,0,20,383.753,0,38.129,12.783,0,1.716,2.09,385,33.03,1883,161.549,,,1679,144.047
BEL,Europe,Belgium,3/24/2020,11655923,4473,0,444.429,149,0,20,383.753,0,38.129,12.783,0,1.716,2.05,487,41.781,2204,189.088,,,1974,169.356
BEL,Europe,Belgium,3/25/2020,11655923,4473,0,444.429,149,0,20,383.753,0,38.129,12.783,0,1.716,2.01,612,52.505,2721,233.444,,,2338,200.585
BEL,Europe,Belgium,3/26/2020,11655923,4473,0,444.429,149,0,20,383.753,0,38.129,12.783,0,1.716,1.97,699,59.97,3111,266.903,,,2619,224.693
BEL,Europe,Belgium,3/27/2020,11655923,4473,0,444.429,149,0,20,383.753,0,38.129,12.783,0,1.716,1.92,789,67.691,3649,313.06,,,2912,249.83
BEL,Europe,Belgium,3/28/2020,11655923,4473,0,444.429,149,0,20,383.753,0,38.129,12.783,0,1.716,1.87,867,74.383,4088,350.723,,,3232,277.284
