iso_code,continent,location,date,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
OWID_AFR,,Africa,1/9/2021,,,,,,,,,,0,0,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/10/2021,,,,,,,,,,0,0,,,500,500,0,0,,,0,500,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/11/2021,,,,,,,,,,0,0,,,500,500,0,0,,,0,500,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/12/2021,,,,,,,,,,0,0,,,500,500,0,0,,,0,500,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/13/2021,,,,,,,,,,2000,2000,,,500,500,0,0,,,0,500,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/14/2021,,,,,,,,,,2000,2000,,,1000,600,0,0,,,0,600,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/15/2021,,,,,,,,,,4000,4000,,,1000,667,0,0,,,0,667,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/16/2021,,,,,,,,,,7000,7000,,,3000,1000,0,0,,,1,1000,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/17/2021,,,,,,,,,,7000,7000,,,1325,1118,0,0,,,1,1118,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/18/2021,,,,,,,,,,7000,7000,,,1325,1236,0,0,,,1,1236,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/19/2021,,,,,,,,,,10976,10976,,,1325,1354,0,0,,,1,1354,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/20/2021,,,,,,,,,,13163,13163,,,2187,1595,0,0,,,1,1595,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/21/2021,,,,,,,,,,13163,13163,,,1864,1718,0,0,,,1,1718,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/22/2021,,,,,,,,,,16890,16890,,,1864,1841,0,0,,,1,1841,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/23/2021,,,,,,,,,,18353,18353,,,1463,1622,0,0,,,1,1622,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/24/2021,,,,,,,,,,18353,18353,,,768,1542,0,0,,,1,1542,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/25/2021,,,,,,,,,,19889,19889,,,987,1682,0,0,,,1,1682,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/26/2021,,,,,,,,,,22712,22712,,,3072,1926,0,0,,,1,1926,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/27/2021,,,,,,,,,,25587,25587,,,3124,2024,0,0,,,1,2024,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/28/2021,,,,,,,,,,28779,28779,,,3441,2214,0,0,,,2,2214,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/29/2021,,,,,,,,,,30861,30861,,,47331,47245,0,0,,,33,2245,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/30/2021,,,,,,,,,,122206,32206,,,46685,47267,0.01,0,,,33,2267,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,1/31/2021,,,,,,,,,,158206,32206,,,44099,46602,0.01,0,,,33,4602,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/1/2021,,,,,,,,,,236712,36631,,,82180,55718,0.02,0,,,39,5698,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/2/2021,,,,,,,,,,295127,37836,,,65305,57648,0.02,0,,,40,6190,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/3/2021,,,,,,,,,,347149,38746,5,,58805,57894,0.02,0,0,,41,6493,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/4/2021,,,,,,,,,,390474,38746,5,,50984,56995,0.03,0,0,,40,6673,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/5/2021,,,,,,,,,,446986,38746,5,,64171,58945,0.03,0,0,,41,6902,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/6/2021,,,,,,,,,,504800,39248,1586,,63390,61320,0.04,0,0,,43,7669,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/7/2021,,,,,,,,,,504800,39248,1586,,51317,62340,0.04,0,0,,44,7505,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/8/2021,,,,,,,,,,593502,39373,3980,,51317,57920,0.04,0,0,,41,7341,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/9/2021,,,,,,,,,,661263,39382,6700,,74726,59255,0.05,0,0,,42,7171,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/10/2021,,,,,,,,,,795836,39385,10335,,141538,71063,0.06,0,0,,50,7056,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/11/2021,,,,,,,,,,908796,39611,13867,,119925,80912,0.06,0,0,,57,7065,0,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/12/2021,,,,,,,,,,1165581,39611,13867,,265830,109721,0.08,0,0,,77,7316,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/13/2021,,,,,,,,,,1446178,43458,14181,,285481,141448,0.1,0,0,,99,7566,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/14/2021,,,,,,,,,,1446178,43458,14181,,167375,158028,0.1,0,0,,111,7558,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/15/2021,,,,,,,,,,1766999,43467,16441,,167375,174607,0.12,0,0,,122,7550,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/16/2021,,,,,,,,,,1965819,43474,18176,,209955,197500,0.14,0,0,,138,11720,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/17/2021,,,,,,,,,,2147659,47134,19512,,190469,204864,0.15,0,0,,144,12853,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/18/2021,,,,,,,,,,2304003,50215,22925,,169325,211163,0.16,0,0,,148,13363,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/19/2021,,,,,,,,,,2514038,2487572,32990,,149640,194769,0.18,0.17,0,,137,15109,0.001,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/20/2021,,,,,,,,,,2616970,2581895,45489,,136386,172687,0.18,0.18,0,,121,108255,0.008,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/21/2021,,,,,,,,,,2623735,2588660,50463,,95674,161551,0.18,0.18,0,,113,92146,0.006,,,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2/22/2021,,,,,,,,,,2745898,2700632,68325,,101548,151261,0.19,0.19,0,,106,89516,0.006,,,,,,,,,,,,,,,,,,,
